dataset,file,original_column,transformation,reason,before_state,after_state
01_student_performance,student/student-mat.csv,school,Standardize column name,Ensure consistent lowercase snake_case,school,school
01_student_performance,student/student-mat.csv,sex,Standardize column name,Ensure consistent lowercase snake_case,sex,sex
01_student_performance,student/student-mat.csv,age,Standardize column name,Ensure consistent lowercase snake_case,age,age
01_student_performance,student/student-mat.csv,address,Standardize column name,Ensure consistent lowercase snake_case,address,address
01_student_performance,student/student-mat.csv,famsize,Standardize column name,Ensure consistent lowercase snake_case,famsize,famsize
01_student_performance,student/student-mat.csv,Pstatus,Standardize column name,Ensure consistent lowercase snake_case,Pstatus,pstatus
01_student_performance,student/student-mat.csv,Medu,Standardize column name,Ensure consistent lowercase snake_case,Medu,medu
01_student_performance,student/student-mat.csv,Fedu,Standardize column name,Ensure consistent lowercase snake_case,Fedu,fedu
01_student_performance,student/student-mat.csv,Mjob,Standardize column name,Ensure consistent lowercase snake_case,Mjob,mjob
01_student_performance,student/student-mat.csv,Fjob,Standardize column name,Ensure consistent lowercase snake_case,Fjob,fjob
01_student_performance,student/student-mat.csv,reason,Standardize column name,Ensure consistent lowercase snake_case,reason,reason
01_student_performance,student/student-mat.csv,guardian,Standardize column name,Ensure consistent lowercase snake_case,guardian,guardian
01_student_performance,student/student-mat.csv,traveltime,Standardize column name,Ensure consistent lowercase snake_case,traveltime,traveltime
01_student_performance,student/student-mat.csv,studytime,Standardize column name,Ensure consistent lowercase snake_case,studytime,studytime
01_student_performance,student/student-mat.csv,failures,Standardize column name,Ensure consistent lowercase snake_case,failures,failures
01_student_performance,student/student-mat.csv,schoolsup,Standardize column name,Ensure consistent lowercase snake_case,schoolsup,schoolsup
01_student_performance,student/student-mat.csv,famsup,Standardize column name,Ensure consistent lowercase snake_case,famsup,famsup
01_student_performance,student/student-mat.csv,paid,Standardize column name,Ensure consistent lowercase snake_case,paid,paid
01_student_performance,student/student-mat.csv,activities,Standardize column name,Ensure consistent lowercase snake_case,activities,activities
01_student_performance,student/student-mat.csv,nursery,Standardize column name,Ensure consistent lowercase snake_case,nursery,nursery
01_student_performance,student/student-mat.csv,higher,Standardize column name,Ensure consistent lowercase snake_case,higher,higher
01_student_performance,student/student-mat.csv,internet,Standardize column name,Ensure consistent lowercase snake_case,internet,internet
01_student_performance,student/student-mat.csv,romantic,Standardize column name,Ensure consistent lowercase snake_case,romantic,romantic
01_student_performance,student/student-mat.csv,famrel,Standardize column name,Ensure consistent lowercase snake_case,famrel,famrel
01_student_performance,student/student-mat.csv,freetime,Standardize column name,Ensure consistent lowercase snake_case,freetime,freetime
01_student_performance,student/student-mat.csv,goout,Standardize column name,Ensure consistent lowercase snake_case,goout,goout
01_student_performance,student/student-mat.csv,Dalc,Standardize column name,Ensure consistent lowercase snake_case,Dalc,dalc
01_student_performance,student/student-mat.csv,Walc,Standardize column name,Ensure consistent lowercase snake_case,Walc,walc
01_student_performance,student/student-mat.csv,health,Standardize column name,Ensure consistent lowercase snake_case,health,health
01_student_performance,student/student-mat.csv,absences,Standardize column name,Ensure consistent lowercase snake_case,absences,absences
01_student_performance,student/student-mat.csv,G1,Standardize column name,Ensure consistent lowercase snake_case,G1,g1
