feature,data_type,unique_count,missing_percent,category,reason,recommended_for_model
marital_status,int64,6,0.0,SAFE_FEATURES,Demographic and academic details available prior to enrollment start,Yes
application_mode,int64,18,0.0,SAFE_FEATURES,Demographic and academic details available prior to enrollment start,Yes
application_order,int64,8,0.0,SAFE_FEATURES,Demographic and academic details available prior to enrollment start,Yes
course,int64,17,0.0,SAFE_FEATURES,Demographic and academic details available prior to enrollment start,Yes
daytime_evening_attendance,int64,2,0.0,SAFE_FEATURES,Demographic and academic details available prior to enrollment start,Yes
previous_qualification,int64,17,0.0,SAFE_FEATURES,Demographic and academic details available prior to enrollment start,Yes
previous_qualification_grade,float64,101,0.0,SAFE_FEATURES,Demographic and academic details available prior to enrollment start,Yes
nacionality,int64,21,0.0,SAFE_FEATURES,Demographic and academic details available prior to enrollment start,Yes
mother_s_qualification,int64,29,0.0,SAFE_FEATURES,Demographic and academic details available prior to enrollment start,Yes
father_s_qualification,int64,34,0.0,SAFE_FEATURES,Demographic and academic details available prior to enrollment start,Yes
mother_s_occupation,int64,32,0.0,SAFE_FEATURES,Demographic and academic details available prior to enrollment start,Yes
father_s_occupation,int64,46,0.0,SAFE_FEATURES,Demographic and academic details available prior to enrollment start,Yes
admission_grade,float64,620,0.0,SAFE_FEATURES,Demographic and academic details available prior to enrollment start,Yes
displaced,int64,2,0.0,SAFE_FEATURES,Demographic and academic details available prior to enrollment start,Yes
educational_special_needs,int64,2,0.0,SAFE_FEATURES,Demographic and academic details available prior to enrollment start,Yes
debtor,int64,2,0.0,POST_OUTCOME_FEATURES,"Calculated during enrollment (tuition up to date, 1st semester performance).",No (for early stage models)
tuition_fees_up_to_date,int64,2,0.0,POST_OUTCOME_FEATURES,"Calculated during enrollment (tuition up to date, 1st semester performance).",No (for early stage models)
gender,int64,2,0.0,SAFE_FEATURES,Demographic and academic details available prior to enrollment start,Yes
scholarship_holder,int64,2,0.0,SAFE_FEATURES,Demographic and academic details available prior to enrollment start,Yes
age_at_enrollment,int64,46,0.0,SAFE_FEATURES,Demographic and academic details available prior to enrollment start,Yes
international,int64,2,0.0,SAFE_FEATURES,Demographic and academic details available prior to enrollment start,Yes
curricular_units_1st_sem_credited,int64,21,0.0,POST_OUTCOME_FEATURES,"Calculated during enrollment (tuition up to date, 1st semester performance).",No (for early stage models)
curricular_units_1st_sem_enrolled,int64,23,0.0,POST_OUTCOME_FEATURES,"Calculated during enrollment (tuition up to date, 1st semester performance).",No (for early stage models)
curricular_units_1st_sem_evaluations,int64,35,0.0,POST_OUTCOME_FEATURES,"Calculated during enrollment (tuition up to date, 1st semester performance).",No (for early stage models)
curricular_units_1st_sem_approved,int64,23,0.0,POST_OUTCOME_FEATURES,"Calculated during enrollment (tuition up to date, 1st semester performance).",No (for early stage models)
curricular_units_1st_sem_grade,float64,805,0.0,POST_OUTCOME_FEATURES,"Calculated during enrollment (tuition up to date, 1st semester performance).",No (for early stage models)
curricular_units_1st_sem_without_evaluations,int64,11,0.0,POST_OUTCOME_FEATURES,"Calculated during enrollment (tuition up to date, 1st semester performance).",No (for early stage models)
curricular_units_2nd_sem_credited,int64,19,0.0,POTENTIAL_LEAKAGE,Second semester performance occurs after early dropout decisions or leaks graduation probability.,No
curricular_units_2nd_sem_enrolled,int64,22,0.0,POTENTIAL_LEAKAGE,Second semester performance occurs after early dropout decisions or leaks graduation probability.,No
curricular_units_2nd_sem_evaluations,int64,30,0.0,POTENTIAL_LEAKAGE,Second semester performance occurs after early dropout decisions or leaks graduation probability.,No
curricular_units_2nd_sem_approved,int64,20,0.0,POTENTIAL_LEAKAGE,Second semester performance occurs after early dropout decisions or leaks graduation probability.,No
curricular_units_2nd_sem_grade,float64,786,0.0,POTENTIAL_LEAKAGE,Second semester performance occurs after early dropout decisions or leaks graduation probability.,No
curricular_units_2nd_sem_without_evaluations,int64,10,0.0,POTENTIAL_LEAKAGE,Second semester performance occurs after early dropout decisions or leaks graduation probability.,No
unemployment_rate,float64,10,0.0,SAFE_FEATURES,Demographic and academic details available prior to enrollment start,Yes
inflation_rate,float64,9,0.0,SAFE_FEATURES,Demographic and academic details available prior to enrollment start,Yes
gdp,float64,10,0.0,SAFE_FEATURES,Demographic and academic details available prior to enrollment start,Yes
target,str,3,0.0,target,Outcome target label,Yes
